2025-09-19 14:57:02.831 | INFO     | 喜马拉雅.dp.main:<module>:27 - 浏览器对象创建完成
2025-09-19 14:57:02.832 | INFO     | save_to_db:init_database:88 - 数据库初始化完成
2025-09-19 14:57:02.832 | INFO     | __main__:<module>:15 - 初始化数据库
2025-09-19 14:57:08.391 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-15', 'createDate': '2022-03-28', 'anchorUid': 86341650, 'playCount': 1879735598, 'albumTitle': '凡人修仙传|杨洋主演影视原著|姜广涛配音多播版本', 'anchorName': '光合积木', 'fansCount': 2842336, 'commentCount': 0, 'trackCount': 2115, 'albumId': 61310701}
2025-09-19 14:57:10.127 | INFO     | __main__:<module>:333 - 《凡人修仙传|杨洋主演影视原著|姜广涛配音多播版本》 榜单=热门 排名=1 章节数=30 已入库
2025-09-19 14:57:15.256 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-08-26', 'createDate': '2023-09-01', 'anchorUid': 10778196, 'playCount': 3006179854, 'albumTitle': '第九特区丨头陀渊演播丨搞笑热血都市丨伪戒丨VIP免费多人有声剧', 'anchorName': '头陀渊讲故事', 'fansCount': 15642098, 'commentCount': 0, 'trackCount': 2813, 'albumId': 77855794}
2025-09-19 14:57:17.116 | INFO     | __main__:<module>:333 - 《第九特区丨头陀渊演播丨搞笑热血都市丨伪戒丨VIP免费多人有声剧》 榜单=热门 排名=2 章节数=30 已入库
2025-09-19 14:57:22.170 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-08-11', 'createDate': '2021-03-12', 'anchorUid': 10778196, 'playCount': 9877013626, 'albumTitle': '大奉打更人丨头陀渊领衔多人有声剧|畅听全集|王鹤棣、田曦薇主演影视剧原著|卖报小郎君', 'anchorName': '头陀渊讲故事', 'fansCount': 15642098, 'commentCount': 0, 'trackCount': 1754, 'albumId': 47517749}
2025-09-19 14:57:23.876 | INFO     | __main__:<module>:333 - 《大奉打更人丨头陀渊领衔多人有声剧|畅听全集|王鹤棣、田曦薇主演影视剧原著|卖报小郎君》 榜单=热门 排名=3 章节数=30 已入库
2025-09-19 14:57:28.927 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-06-05', 'createDate': '2023-05-06', 'anchorUid': 100702003, 'playCount': 1351337658, 'albumTitle': '仙逆丨边江工作室丨耳根丨徐宇隆丨动漫同名有声剧', 'anchorName': '边江工作室', 'fansCount': 2469897, 'commentCount': 0, 'trackCount': 2326, 'albumId': 75885102}
2025-09-19 14:57:30.978 | INFO     | __main__:<module>:333 - 《仙逆丨边江工作室丨耳根丨徐宇隆丨动漫同名有声剧》 榜单=热门 排名=4 章节数=30 已入库
2025-09-19 14:57:36.031 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-19', 'createDate': '2022-02-17', 'anchorUid': 112687549, 'playCount': 2026631528, 'albumTitle': '北派盗墓笔记丨作者云峰丨全网霸榜&写实盗墓文| 灵异探险|我在地底挖宝贝又名北境摸金人北境校尉疯狂盗贼', 'anchorName': '老彩故事会', 'fansCount': 2953439, 'commentCount': 0, 'trackCount': 2249, 'albumId': 57141014}
2025-09-19 14:57:37.753 | INFO     | __main__:<module>:333 - 《北派盗墓笔记丨作者云峰丨全网霸榜&写实盗墓文| 灵异探险|我在地底挖宝贝又名北境摸金人北境校尉疯狂盗贼》 榜单=热门 排名=5 章节数=30 已入库
2025-09-19 14:57:42.752 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-19', 'createDate': '2025-07-01', 'anchorUid': 26520310, 'playCount': 137125767, 'albumTitle': '谁让他当鬼差的！| 孟婆前传 | 爆笑灵异 | 牛大宝出演 | 多人有声剧', 'anchorName': '_牛大宝_', 'fansCount': 4167206, 'commentCount': 0, 'trackCount': 634, 'albumId': 95821429}
2025-09-19 14:57:44.481 | INFO     | __main__:<module>:333 - 《谁让他当鬼差的！| 孟婆前传 | 爆笑灵异 | 牛大宝出演 | 多人有声剧》 榜单=热门 排名=6 章节数=30 已入库
2025-09-19 14:57:49.412 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-02', 'createDate': '2021-05-25', 'anchorUid': 87317596, 'playCount': 1758527228, 'albumTitle': '诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品', 'anchorName': '8082Audio', 'fansCount': 2962831, 'commentCount': 0, 'trackCount': 2070, 'albumId': 49808826}
2025-09-19 14:57:51.358 | INFO     | __main__:<module>:333 - 《诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品》 榜单=热门 排名=7 章节数=30 已入库
2025-09-19 14:57:56.479 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-06-25', 'createDate': '2022-09-20', 'anchorUid': 407193654, 'playCount': 3472170743, 'albumTitle': '大秦：不装了，你爹我是秦始皇丨全本免费丨爆笑穿越丨伍壹剧社多人剧|赵家继承人秦朝', 'anchorName': '伍壹剧社', 'fansCount': 1873022, 'commentCount': 0, 'trackCount': 1568, 'albumId': 71143288}
2025-09-19 14:57:58.286 | INFO     | __main__:<module>:333 - 《大秦：不装了，你爹我是秦始皇丨全本免费丨爆笑穿越丨伍壹剧社多人剧|赵家继承人秦朝》 榜单=热门 排名=8 章节数=30 已入库
2025-09-19 14:58:03.271 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-19', 'createDate': '2019-04-22', 'anchorUid': 37504890, 'playCount': 8451276216, 'albumTitle': '重生八零，媳妇有点辣 | 多人有声剧|经典作品|现代言情|虐渣', 'anchorName': '君颜讲故事', 'fansCount': 6120892, 'commentCount': 0, 'trackCount': 2360, 'albumId': 22963309}
2025-09-19 14:58:04.959 | INFO     | __main__:<module>:333 - 《重生八零，媳妇有点辣 | 多人有声剧|经典作品|现代言情|虐渣》 榜单=热门 排名=9 章节数=30 已入库
2025-09-19 14:58:10.000 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-19', 'createDate': '2018-07-12', 'anchorUid': 10778196, 'playCount': 4445201566, 'albumTitle': '绝世高手【头陀渊】免费有声小说', 'anchorName': '头陀渊讲故事', 'fansCount': 15642099, 'commentCount': 0, 'trackCount': 3066, 'albumId': 16411402}
2025-09-19 14:58:11.723 | INFO     | __main__:<module>:333 - 《绝世高手【头陀渊】免费有声小说》 榜单=热门 排名=10 章节数=30 已入库
2025-09-19 14:58:16.808 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-18', 'createDate': '2020-02-11', 'anchorUid': 134944915, 'playCount': 4477287408, 'albumTitle': '上门龙婿|至尊龙婿叶辰萧初然', 'anchorName': '经致听书', 'fansCount': 4510804, 'commentCount': 0, 'trackCount': 2480, 'albumId': 33476331}
2025-09-19 14:58:18.627 | INFO     | __main__:<module>:333 - 《上门龙婿|至尊龙婿叶辰萧初然》 榜单=热门 排名=11 章节数=30 已入库
2025-09-19 14:58:23.742 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-19', 'createDate': '2024-03-25', 'anchorUid': 1266964, 'playCount': 834488792, 'albumTitle': '我的老千生涯 | 有声的紫襟领衔演播 | 全新演绎多人有声剧 | VIP免费', 'anchorName': '有声的紫襟', 'fansCount': 27682662, 'commentCount': 0, 'trackCount': 3622, 'albumId': 81078427}
2025-09-19 14:58:25.554 | INFO     | __main__:<module>:333 - 《我的老千生涯 | 有声的紫襟领衔演播 | 全新演绎多人有声剧 | VIP免费》 榜单=热门 排名=12 章节数=30 已入库
2025-09-19 14:58:30.625 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-05-08', 'createDate': '2022-06-14', 'anchorUid': 371637470, 'playCount': 2074055784, 'albumTitle': '头狼丨头陀渊工作室丨都市热血爽文丨多人有声剧', 'anchorName': '头陀渊工作室', 'fansCount': 2145445, 'commentCount': 0, 'trackCount': 5395, 'albumId': 68724415}
2025-09-19 14:58:32.425 | INFO     | __main__:<module>:333 - 《头狼丨头陀渊工作室丨都市热血爽文丨多人有声剧》 榜单=热门 排名=13 章节数=30 已入库
2025-09-19 14:58:37.421 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-19', 'createDate': '2025-03-27', 'anchorUid': 1266964, 'playCount': 341877213, 'albumTitle': '重生1958：从窝在深山打猎开始|有声的紫襟团队作品|重生|多人有声剧', 'anchorName': '有声的紫襟', 'fansCount': 27682661, 'commentCount': 0, 'trackCount': 1139, 'albumId': 88608305}
2025-09-19 14:58:39.195 | INFO     | __main__:<module>:333 - 《重生1958：从窝在深山打猎开始|有声的紫襟团队作品|重生|多人有声剧》 榜单=热门 排名=14 章节数=30 已入库
2025-09-19 14:58:44.196 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-18', 'createDate': '2021-06-04', 'anchorUid': 1266964, 'playCount': 1141144847, 'albumTitle': '【新民间剧场】我的老千江湖｜ 有声的紫襟｜免费版 | 魔幻千手', 'anchorName': '有声的紫襟', 'fansCount': 27682663, 'commentCount': 0, 'trackCount': 2023, 'albumId': 50069461}
2025-09-19 14:58:45.907 | INFO     | __main__:<module>:333 - 《【新民间剧场】我的老千江湖｜ 有声的紫襟｜免费版 | 魔幻千手》 榜单=热门 排名=15 章节数=30 已入库
2025-09-19 14:58:50.990 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-01', 'createDate': '2021-08-25', 'anchorUid': 5943457, 'playCount': 1024204876, 'albumTitle': '神秘复苏|恐怖灵异火爆神作&惊悚鬼故事|老K演播', 'anchorName': '传说中的方片K', 'fansCount': 3056328, 'commentCount': 0, 'trackCount': 2565, 'albumId': 52465976}
2025-09-19 14:58:52.681 | INFO     | __main__:<module>:333 - 《神秘复苏|恐怖灵异火爆神作&惊悚鬼故事|老K演播》 榜单=热门 排名=16 章节数=30 已入库
2025-09-19 14:58:57.853 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-19', 'createDate': '2025-05-22', 'anchorUid': 10778196, 'playCount': 100688416, 'albumTitle': '星痕之门丨头陀渊演播丨都市热血丨轻松搞笑丨第九特区作者新作丨VIP免费多人有声剧', 'anchorName': '头陀渊讲故事', 'fansCount': 15642099, 'commentCount': 0, 'trackCount': 540, 'albumId': 93130163}
2025-09-19 14:58:59.571 | INFO     | __main__:<module>:333 - 《星痕之门丨头陀渊演播丨都市热血丨轻松搞笑丨第九特区作者新作丨VIP免费多人有声剧》 榜单=热门 排名=17 章节数=30 已入库
2025-09-19 14:59:04.527 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-01', 'createDate': '2016-07-17', 'anchorUid': 1266964, 'playCount': 9261781333, 'albumTitle': '摸金天师【第一季】（紫襟演播）', 'anchorName': '有声的紫襟', 'fansCount': 27682664, 'commentCount': 0, 'trackCount': 1133, 'albumId': 4756811}
2025-09-19 14:59:06.229 | INFO     | __main__:<module>:333 - 《摸金天师【第一季】（紫襟演播）》 榜单=热门 排名=18 章节数=30 已入库
2025-09-19 14:59:11.261 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-19', 'createDate': '2025-05-22', 'anchorUid': 1266964, 'playCount': 145740677, 'albumTitle': '都重生了谁考公务员啊 | 有声的紫襟演播 | 都市重生 | 逆袭成长 | 多人有声剧', 'anchorName': '有声的紫襟', 'fansCount': 27682664, 'commentCount': 0, 'trackCount': 634, 'albumId': 93130154}
2025-09-19 14:59:13.021 | INFO     | __main__:<module>:333 - 《都重生了谁考公务员啊 | 有声的紫襟演播 | 都市重生 | 逆袭成长 | 多人有声剧》 榜单=热门 排名=19 章节数=30 已入库
2025-09-19 14:59:18.085 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-19', 'createDate': '2024-07-23', 'anchorUid': 10778196, 'playCount': 899488094, 'albumTitle': '捡漏丨头陀渊工作室丨爆笑爽文丨都市热血丨扮猪吃老虎丨鉴宝丨VIP免费多人有声剧', 'anchorName': '头陀渊讲故事', 'fansCount': 15642099, 'commentCount': 0, 'trackCount': 5070, 'albumId': 82779415}
2025-09-19 14:59:19.995 | INFO     | __main__:<module>:333 - 《捡漏丨头陀渊工作室丨爆笑爽文丨都市热血丨扮猪吃老虎丨鉴宝丨VIP免费多人有声剧》 榜单=热门 排名=20 章节数=30 已入库
2025-09-19 14:59:25.102 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-02-24', 'createDate': '2022-04-20', 'anchorUid': 292377710, 'playCount': 1677446036, 'albumTitle': '【燃番啦】这游戏也太真实了丨爆笑废土霸榜神作丨紫襟剧社制作', 'anchorName': '紫襟剧社', 'fansCount': 3951605, 'commentCount': 0, 'trackCount': 3061, 'albumId': 64773709}
2025-09-19 14:59:26.842 | INFO     | __main__:<module>:333 - 《【燃番啦】这游戏也太真实了丨爆笑废土霸榜神作丨紫襟剧社制作》 榜单=热门 排名=21 章节数=30 已入库
2025-09-19 14:59:31.903 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-09-19', 'createDate': '2022-03-29', 'anchorUid': 1266964, 'playCount': 1733873139, 'albumTitle': '太荒吞天诀丨热血玄幻丨紫襟领衔有声剧', 'anchorName': '有声的紫襟', 'fansCount': 27682664, 'commentCount': 0, 'trackCount': 4064, 'albumId': 61441347}
2025-09-19 14:59:33.801 | INFO     | __main__:<module>:333 - 《太荒吞天诀丨热血玄幻丨紫襟领衔有声剧》 榜单=热门 排名=22 章节数=30 已入库
2025-09-19 14:59:38.847 | INFO     | __main__:<module>:276 - 小说信息{'updateDate': '2025-08-11', 'createDate': '2015-06-11', 'anchorUid': 2342717, 'playCount': 3008615238, 'albumTitle': '雪中悍刀行【大斌&免费有声小说】 第一季', 'anchorName': '大斌', 'fansCount': 9967136, 'commentCount': 0, 'trackCount': 881, 'albumId': 2684034}
2025-09-19 14:59:40.636 | INFO     | __main__:<module>:333 - 《雪中悍刀行【大斌&免费有声小说】 第一季》 榜单=热门 排名=23 章节数=30 已入库
